GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BD-17,2020-08-10,BD-17,2020-08-16 23:59:00,2565.0,1852,,2020-08-10,BD-17_84,BD-17_84,2020-08-16 23:59:00,BD-17_84,2020-08-10
BE-15,2021-09-06,BE-15,2021-09-12 23:59:00,34765.0,6421,,2021-09-06,BE-15_140,BE-15_140,2021-09-12 23:59:00,BE-15_140,2021-09-06
BE-19,2019-08-26,BE-19,2019-09-01 23:59:00,10475.0,6120,,2019-08-26,BE-19_34,BE-19_34,2019-09-01 23:59:00,BE-19_34,2019-08-26
BE-15,2022-04-18,BE-15,2022-04-24 23:59:00,37120.0,5128,,2022-04-18,BE-15_172,BE-15_172,2022-04-24 23:59:00,BE-15_172,2022-04-18
BT-26,2023-10-23,BT-26,2023-10-29 23:59:00,275.0,3546,,2023-10-23,BT-26_251,BT-26_251,2023-10-29 23:59:00,BT-26_251,2023-10-23
BE-15,2021-10-18,BE-15,2021-10-24 23:59:00,44455.0,6363,,2021-10-18,BE-15_146,BE-15_146,2021-10-24 23:59:00,BE-15_146,2021-10-18
BC-12,2019-04-01,BC-12,2019-04-07 23:59:00,3430.0,5018,,2019-04-01,BC-12_13,BC-12_13,2019-04-07 23:59:00,BC-12_13,2019-04-01
BK-32,2022-11-21,BK-32,2022-11-27 23:59:00,910.0,1734,,2022-11-21,BK-32_203,BK-32_203,2022-11-27 23:59:00,BK-32_203,2022-11-21
BK-32,2020-11-09,BK-32,2020-11-15 23:59:00,1485.0,3153,,2020-11-09,BK-32_97,BK-32_97,2020-11-15 23:59:00,BK-32_97,2020-11-09
BD-26,2021-12-20,BD-26,2021-12-26 23:59:00,295.0,969,,2021-12-20,BD-26_155,BD-26_155,2021-12-26 23:59:00,BD-26_155,2021-12-20
BQ-25,2019-07-01,BQ-25,2019-07-07 23:59:00,420.0,0,,2019-07-01,BQ-25_26,BQ-25_26,2019-07-07 23:59:00,BQ-25_26,2019-07-01
BQ-25,2020-07-13,BQ-25,2020-07-19 23:59:00,6855.0,0,,2020-07-13,BQ-25_80,BQ-25_80,2020-07-19 23:59:00,BQ-25_80,2020-07-13
BH-26,2021-05-24,BH-26,2021-05-30 23:59:00,9200.0,1331,,2021-05-24,BH-26_125,BH-26_125,2021-05-30 23:59:00,BH-26_125,2021-05-24
BN-62,2020-10-26,BN-62,2020-11-01 23:59:00,1015.0,722,,2020-10-26,BN-62_95,BN-62_95,2020-11-01 23:59:00,BN-62_95,2020-10-26
BD-26,2022-05-16,BD-26,2022-05-22 23:59:00,1495.0,1695,,2022-05-16,BD-26_176,BD-26_176,2022-05-22 23:59:00,BD-26_176,2022-05-16
BH-24,2022-10-31,BH-24,2022-11-06 23:59:00,2220.0,1670,,2022-10-31,BH-24_200,BH-24_200,2022-11-06 23:59:00,BH-24_200,2022-10-31
BK-32,2021-05-31,BK-32,2021-06-06 23:59:00,3490.0,5552,,2021-05-31,BK-32_126,BK-32_126,2021-06-06 23:59:00,BK-32_126,2021-05-31
BN-62,2020-01-13,BN-62,2020-01-19 23:59:00,30.0,353,,2020-01-13,BN-62_54,BN-62_54,2020-01-19 23:59:00,BN-62_54,2020-01-13
BD-17,2021-06-21,BD-17,2021-06-27 23:59:00,2400.0,1384,,2021-06-21,BD-17_129,BD-17_129,2021-06-27 23:59:00,BD-17_129,2021-06-21
BH-26,2022-02-14,BH-26,2022-02-20 23:59:00,2005.0,904,,2022-02-14,BH-26_163,BH-26_163,2022-02-20 23:59:00,BH-26_163,2022-02-14
BL-36,2021-01-25,BL-36,2021-01-31 23:59:00,555.0,488,,2021-01-25,BL-36_108,BL-36_108,2021-01-31 23:59:00,BL-36_108,2021-01-25
BE-19,2023-03-06,BE-19,2023-03-12 23:59:00,10065.0,3536,,2023-03-06,BE-19_218,BE-19_218,2023-03-12 23:59:00,BE-19_218,2023-03-06
BN-62,2020-11-02,BN-62,2020-11-08 23:59:00,1910.0,1104,,2020-11-02,BN-62_96,BN-62_96,2020-11-08 23:59:00,BN-62_96,2020-11-02
BD-17,2019-12-02,BD-17,2019-12-08 23:59:00,775.0,454,,2019-12-02,BD-17_48,BD-17_48,2019-12-08 23:59:00,BD-17_48,2019-12-02
BC-12,2020-06-29,BC-12,2020-07-05 23:59:00,5265.0,7301,,2020-06-29,BC-12_78,BC-12_78,2020-07-05 23:59:00,BC-12_78,2020-06-29
BL-36,2019-01-14,BL-36,2019-01-20 23:59:00,305.0,283,,2019-01-14,BL-36_2,BL-36_2,2019-01-20 23:59:00,BL-36_2,2019-01-14
BE-19,2019-03-04,BE-19,2019-03-10 23:59:00,3515.0,2621,,2019-03-04,BE-19_9,BE-19_9,2019-03-10 23:59:00,BE-19_9,2019-03-04
BL-36,2019-03-11,BL-36,2019-03-17 23:59:00,1365.0,981,,2019-03-11,BL-36_10,BL-36_10,2019-03-17 23:59:00,BL-36_10,2019-03-11
BD-17,2023-12-25,BD-17,2023-12-31 23:59:00,1415.0,690,,2023-12-25,BD-17_260,BD-17_260,2023-12-31 23:59:00,BD-17_260,2023-12-25
BE-15,2023-09-18,BE-15,2023-09-24 23:59:00,23630.0,5368,,2023-09-18,BE-15_246,BE-15_246,2023-09-24 23:59:00,BE-15_246,2023-09-18
